price,neighbourhood,latitude,longitude,room_type,availability_365
1600,Audubon,29.93593715,-90.11571173,Entire home/apt,365
64,Audubon,29.92035094,-90.12471884,Private room,335
500,Audubon,29.94476736,-90.11776548,Entire home/apt,353
55,Audubon,29.92700815,-90.13295991,Private room,44
2000,Audubon,29.92615769,-90.1163259,Entire home/apt,364
700,Audubon,29.92791826,-90.1175742,Entire home/apt,361
650,Audubon,29.91912304,-90.12553918,Entire home/apt,361
71,Audubon,29.94253203,-90.114479,Private room,365
150,Audubon,29.93772975,-90.1133437,Entire home/apt,85
75,Audubon,29.93756199,-90.11593,Private room,353
99,Audubon,29.9222595,-90.12170506,Entire home/apt,123
320,Audubon,29.94488584,-90.11448387,Entire home/apt,0
64,Audubon,29.93781683,-90.12818194,Private room,365
109,Audubon,29.93923277,-90.1115639,Private room,175
85,Audubon,29.94418895,-90.12035369,Entire home/apt,365
85,Audubon,29.92203148,-90.11661351,Entire home/apt,29
375,Audubon,29.93954483,-90.11168439,Entire home/apt,153
100,Audubon,29.9481528,-90.1183382,Entire home/apt,165
160,Audubon,29.9280839,-90.13303818,Entire home/apt,361
1200,Audubon,29.93467687,-90.12102233,Entire home/apt,0
99,Audubon,29.94078529,-90.1118334,Private room,365
150,Audubon,29.93313789,-90.13105636,Entire home/apt,365
295,Audubon,29.92671829,-90.12456487,Entire home/apt,286
50,Audubon,29.94157811,-90.12523254,Private room,59
64,Audubon,29.92550385,-90.12032287,Private room,363
140,Audubon,29.93197067,-90.13126141,Entire home/apt,363
50,Audubon,29.9403218,-90.12488075,Private room,365
135,Audubon,29.93597621,-90.11718762,Private room,334
200,Audubon,29.92246933,-90.11499284,Entire home/apt,349
250,Audubon,29.92302305,-90.12420499,Entire home/apt,260
725,Audubon,29.93485699,-90.11148656,Entire home/apt,273
800,Audubon,29.92412991,-90.12576519,Entire home/apt,8
68,Audubon,29.94349056,-90.12309079,Entire home/apt,0
550,Audubon,29.94633477,-90.1195903,Private room,74
119,Audubon,29.94313346,-90.12423978,Private room,365
250,Audubon,29.93471352,-90.11888856,Entire home/apt,90
165,Audubon,29.92297164,-90.1176724,Entire home/apt,0
65,Audubon,29.91958761,-90.1275195,Private room,180
190,Audubon,29.92568445,-90.12046659,Entire home/apt,93
120,Audubon,29.94876019,-90.11537526,Entire home/apt,132
75,Audubon,29.93938694,-90.11053725,Private room,365
110,Audubon,29.93981453,-90.12278772,Entire home/apt,54
325,Audubon,29.95103641,-90.11787556,Entire home/apt,350
44,B. W. Cooper,29.95212207,-90.09458227,Private room,130
175,Bayou St. John,29.9777025,-90.08149309,Entire home/apt,365
100,Bayou St. John,29.9708658,-90.08646115,Entire home/apt,364
300,Bayou St. John,29.97749989,-90.08641721,Entire home/apt,0
85,Bayou St. John,29.9743735,-90.0872364,Entire home/apt,39
99,Bayou St. John,29.97473055,-90.08251539,Entire home/apt,0
300,Bayou St. John,29.97618262,-90.08776626,Entire home/apt,303
35,Bayou St. John,29.97054471,-90.08351963,Private room,329
250,Bayou St. John,29.97759496,-90.08363179,Entire home/apt,361
455,Bayou St. John,29.97576707,-90.08868006,Entire home/apt,168
149,Bayou St. John,29.97426669,-90.08151033,Entire home/apt,193
125,Bayou St. John,29.97590193,-90.08143542,Entire home/apt,354
90,Bayou St. John,29.97761577,-90.08159369,Entire home/apt,344
300,Bayou St. John,29.97602344,-90.07921681,Private room,301
125,Bayou St. John,29.97644737,-90.08276041,Entire home/apt,180
200,Bayou St. John,29.97638421,-90.08285984,Entire home/apt,365
